Rank,Stadium,Seating Capacity,Region,Country,City,Images,Home Team
1,Rungrado 1st of May Stadium,"114,000",East Asia,North Korea,Pyongyang,https://en.wikipedia.org/wiki/File:Arirang_Mass_Games_12.JPG,"Korea DPR national football team,Korea DPR women's national football team,April 25"
2,Michigan Stadium,"107,600",North America,United States,"Ann Arbor, Michigan","https://en.wikipedia.org/wiki/File:Real_Madrid_vs._Machester_United_August_2nd,_2014.jpg",Michigan Wolverines football
3,Ohio Stadium,"102,780",North America,United States,"Columbus, Ohio",https://en.wikipedia.org/wiki/File:Panoramic_view_of_Ohio_Stadium.jpg,Ohio State Buckeyes football
4,Melbourne Cricket Ground,"100,024",Oceania,Australia,"Melbourne,Victoria",https://en.wikipedia.org/wiki/File:MCG_Panorama_24_July_2015.jpg,"Australia national cricket team,Victoria cricket team,Melbourne Cricket Club,Melbourne Stars,Melbourne FC,Richmond FC,Collingwood FC,Hawthorn FC"
5,Camp Nou,"99,354",Europe,Spain,"Barcelona, Catalonia","https://en.wikipedia.org/wiki/File:Camp_Nou_Experience_(_Ank_Kumar,_INFOSYS_Limited_)_07.jpg",FC Barcelona
6,Estadio Azteca,"95,500",North America,Mexico,Mexico City,https://en.wikipedia.org/wiki/File:Panor%C3%A1mica_esquina_noreste.jpg,"Club América,Cruz Azul,Mexico national football team"
7,FNB Stadium,"94,736",Africa,South Africa,"Johannesburg,Gauteng","https://en.wikipedia.org/wiki/File:First_game_of_the_2010_FIFA_World_Cup,_South_Africa_vs_Mexico.jpg","South Africa national football team,Kaizer Chiefs"
8,New Administrative Capital Stadium,"93,940",Africa,Egypt,New Administrative Capital,https://en.wikipedia.org/wiki/File:The_New_administrative_stadium_of_Egypt.jpg,Egypt national football team
9,Rose Bowl Stadium,"92,800",North America,United States,"Pasadena, California","https://en.wikipedia.org/wiki/File:Rose_Bowl,_panorama.jpg",UCLA Bruins
10,Cotton Bowl Stadium,"92,100",North America,United States,"Dallas,Texas",https://en.wikipedia.org/wiki/File:2019_State_Fair_Classic_01_(Cotton_Bowl).jpg,
11,Wembley Stadium,"90,000",Europe,England,"London, England",https://en.wikipedia.org/wiki/File:Post_L2_Play-Off_Final.jpg,England national football team
12,Lusail Stadium,"88,966",West Asia,Qatar,Lusail,https://en.wikipedia.org/wiki/File:Lusail_Stadium.jpg,Qatar national football team
13,Bukit Jalil National Stadium,"87,411",Southeast Asia,Malaysia,Kuala Lumpur,https://en.wikipedia.org/wiki/File:National_Stadium_Bukit_Jalil_2018_AFF_Suzuki_Cup_final.png,Malaysia national football team[13]
14,Borg el-Arab Stadium,"86,000",Africa,Egypt,Alexandria,https://en.wikipedia.org/wiki/File:Borg_el_arab_stadium.jpg,"Egypt national football team,Al Ittihad,Smouha"
15,Estadio Santiago Bernabéu,"85,000",Europe,Spain,Madrid,https://en.wikipedia.org/wiki/File:Estadio_Santiago_Bernab%C3%A9u_Madrid.jpg,Real Madrid
16,Estadio Mâs Monumental,"84,567",South America,Argentina,Buenos Aires,https://en.wikipedia.org/wiki/File:Estadio_Monumental.jpg,"Argentina national football team,River Plate"
17,Stadium Australia,"83,500",Oceania,Australia,"Sydney,New South Wales",https://en.wikipedia.org/wiki/File:State_of_Origin_Game_II_2018.jpg,"South Sydney Rabbitohs,Canterbury-Bankstown Bulldogs,New South Wales Blues,New South Wales Waratahs,Australia men's national soccer team,Australia national rugby union team"
18,MetLife Stadium,"82,500",North America,United States,"East Rutherford, New Jersey",https://en.wikipedia.org/wiki/File:Copa_America_game_between_Columbia_vs_Peru_at_the_MetLife_Stadium.jpg,"New York Giants,New York Jets,United States men's national soccer team"
19,Croke Park,"82,300",Europe,Ireland,Dublin,https://en.wikipedia.org/wiki/File:Croke_park_all_ireland.jpg,"Gaelic Athletic Association,Dublin GAA"
20,Jakarta International Stadium,"82,000",Southeast Asia,Indonesia,Jakarta,https://en.wikipedia.org/wiki/File:Jakarta_International_Stadium_interior.jpg,"Persija Jakarta,Indonesia national football team"
21,Lambeau Field,"81,441",North America,United States,"Green Bay, Wisconsin",https://en.wikipedia.org/wiki/File:Lambeau_Field_bowl.jpg,Green Bay Packers
22,SIGNAL IDUNA PARK,"81,365",Europe,Germany,Dortmund,https://en.wikipedia.org/wiki/File:Signal_iduna_park.jpg,Borussia Dortmund
23,Stade de France,"81,338",Europe,France,Saint-Denis,https://en.wikipedia.org/wiki/File:StadeFranceNationsLeague2018.jpg,France national football team
